CODISTR        	DESCRIZ                            	GIACONT	 PROGCAR	 PROGSCA	GIADIN	     COSTO	  PREZZO_1	ULTVEN  	ULTCAR  	CODICE	   SCMIN
VED71299015    	TAGLIAERBA TIPO PROTOTIPO          	      0	       6	       2	     4	      4.86	      8.99	11/07/02	26/04/02	S762  	71299015
VED71410064    	SABBIAIA ROSSA COCCINELLA          	      0	       0	       0	     0	      0.00	     34.50	  /  /  	  /  /  	S896  	71410064
VED71611051    	ALTALENA DOPPIA C/CAVALLO          	      0	       1	       0	     1	     64.99	    129.00	  /  /  	28/03/02	S451  	71610051
VED71611213    	ALTALENA METALLOM 209*160 CM.120   	      0	       2	       1	     1	     39.86	     79.50	11/05/02	26/04/02	S863  	71611213
VED71691039    	SCIVOLO CHICCO GR.+MACCHINA FOTO   	      0	       1	       0	     1	     70.61	    129.00	  /  /  	26/04/02	S765  	71691039
VED71710076    	SEGGIOLINO ALTALENA                	      0	       3	       2	     1	      5.11	     11.90	08/06/02	26/04/02	S875  	71710076
VED71720161    	APLTALENA PI SEGGIOL.ANATOMICO     	      0	       1	       1	     0	     24.55	     49.50	01/07/02	28/03/02	S452  	71720161
VED71720217    	SEGGIOLINO ALTALENA X BABY         	      1	       6	       7	     0	     10.22	     25.90	17/07/02	21/06/02	S889  	71720217
VED71741052    	SET ALTAL.ANELLI TRAPEZIO LEGNO    	      2	       0	       1	     1	     10.25	     25.56	27/07/02	05/06/01	S706  	71741052
VED71751007    	SCALA CORDA LUSSO                  	      2	       0	       0	     2	      9.29	     20.61	11/07/01	01/08/01	S895  	71751007
VED72010183    	AEREO LANCIO C/ELASTICO GHUNTER    	      0	      10	       2	     8	      2.46	      5.90	19/07/02	28/03/02	S734  	72010183
VED72021002    	AEREO ELASTICO PHOENIX             	      0	       4	       3	     1	      9.20	     19.50	31/05/02	28/03/02	S454  	72021001
VED72021045    	AEREO EL.SNAKE 2 IN 1 45X44        	      0	       6	       4	     2	      8.39	     18.90	24/07/02	28/03/02	S462  	72021045
VED72021061    	AEREO PIRAT ELASTICO GHUNTER       	      0	      10	       7	     3	      3.65	      7.90	07/08/02	28/03/02	S731  	72021061
VED72051173    	AQUILONI NYLON                     	      6	       0	       0	     6	      3.66	     12.91	  /  /  	07/11/01	S546  	72051173
VED72051238    	AQUILONE NYLON DIAMANTE 100*87 SIM 	      0	      12	       9	     3	      3.42	      8.40	17/08/02	28/03/02	S471  	72051238
VED72051432    	AQUILONE C/MANICA VENTO 75*70      	      0	      12	      12	     0	      4.35	     10.50	13/07/02	21/06/02	S473  	72051432
VED72061004    	AQUIL.ACB.GHUNTER GIPSY II 265*63  	      0	       4	       3	     1	      4.11	      9.90	01/08/02	28/03/02	S475  	72061004
VED72062183    	AQUILONE ACROB.DELTA 160*80        	      0	       4	       4	     0	      5.17	     12.98	01/08/02	28/03/02	S510  	72062183
VED72063082    	AQUIL.FLEXI FOIL BATKITE 120*55    	      0	       6	       5	     1	      7.06	     15.90	18/07/02	21/06/02	S513  	72063082
VED72078276    	MANICA VENTO PESCE 3D              	      0	       2	       1	     1	      5.42	     13.50	16/06/02	28/03/02	S521  	72078276
VED72078357    	MANICA VENTO NEW                   	      0	       1	       1	     0	      5.33	     13.50	17/08/02	28/03/02	S740  	72078357
VED72092091    	MANOPOLE AQUILONI                  	      0	       3	       0	     3	      1.05	      0.00	  /  /  	01/06/02	S791  	72092091
VED72117000    	BERSAGLIO ELETTR.DARDI             	      0	       1	       0	     1	     36.68	     73.00	18/12/01	20/01/02	S466  	72117000
VED72117069    	BERSAGLIO DARDI EL.                	      0	       0	       0	     0	      0.00	      0.00	  /  /  	  /  /  	S960  	72117069
VED72118219    	BERSAGLIO PROFESSIONALE            	      1	       0	       0	     1	     15.70	     35.89	  /  /  	05/06/01	S920  	72118219
VED72161726    	FREESBEE 22 CM.                    	     24	       0	      14	    10	      0.84	      2.32	17/08/02	05/06/01	S922  	72161726
VED72220170    	CORDA SALTO 250 CM.                	      0	       0	       0	     0	      2.51	      5.16	19/11/01	10/09/01	S754  	72220170
VED72221001    	CORDA SALTO WAVE                   	      0	       8	       5	     3	      4.18	      9.50	13/07/02	21/06/02	S528  	72221001
VED72230035    	COPPIA PALLA AL CESTO              	      0	      10	      10	     0	      1.83	      4.50	17/08/02	21/06/02	S891  	72230035
VED72231023    	CERCHIO ROLLING WAVE               	      0	      12	       4	     8	      3.88	      8.50	16/06/02	21/06/02	S545  	72231023
VED72240201    	YOMEGA BRAINSTORM                  	      0	       3	       1	     2	      7.81	     15.50	28/03/02	20/01/02	D669  	72240201
VED72247124    	TROTTOLA CON LANCIATORE            	      0	       6	       2	     4	      3.47	      7.90	01/09/02	21/06/02	S897  	72247124
VED72247159    	SET COMPL.C/TROTTOLA+LANCIAT.      	      0	       2	       2	     0	      7.76	     16.50	05/07/02	21/06/02	S899  	72247159
VED72247167    	TROTTOLA C/ARENA                   	      0	       6	       6	     0	      4.80	      9.90	17/08/02	21/06/02	S902  	72247167
VED72247175    	SET 3 TROTTOLE                     	      0	       6	       0	     6	      3.47	      7.50	  /  /  	21/06/02	S906  	72247175
VED72250389    	CNF.24 SACCH.3 BIGLIE TERRACOTTA   	      1	       0	       1	     0	     19.46	      2.07	23/07/02	07/11/01	S551  	72250389
VED72250532    	CNF.36 BUSTE 16 BIGLIE TERRACOTTA  	      1	       0	       0	     1	     36.55	      2.58	  /  /  	15/11/01	D972  	72250532
VED72250681    	CNF.20 SACCH.BIGLIE TERRACOTTA     	      1	       0	       1	     0	     18.21	      2.32	03/07/02	07/11/01	S560  	72250681
VED72410106    	BARCA VELA GUNTHER LEGNO 23 CM.    	      0	       2	       0	     2	      8.39	     21.00	  /  /  	28/03/02	S548  	72410106
VED72440021    	RIMORCHIATORE CAPITAN TOOT         	      2	       0	       2	     0	      6.23	     13.43	31/05/02	10/09/01	S763  	72440021
VED72710100    	PISTA ACQUA AQUAPLAY SUPERSET      	      0	       1	       0	     1	     52.75	    104.00	  /  /  	28/03/02	S664  	72710100
VED72710185    	PISTA ACQUAPLAY SUPERSET 2         	      0	       8	       4	     4	     28.22	     59.00	30/05/02	21/06/02	S557  	72710185
VED72820380    	MOTOSCAFO R/C                      	      0	       2	       0	     2	     33.08	     69.50	  /  /  	28/03/02	S570  	72820380
VED72820398    	MOTOSCAFO RC SEA SPIRIT            	      0	       3	       1	     2	     13.45	     24.98	03/08/02	26/04/02	E248  	72820398
VED73012082    	TRAMPOLINO 120 CM.                 	      0	       1	       1	     0	     27.15	     68.50	22/06/02	28/03/02	S743  	73012082
VED73012091    	TRAMPOLINO 140 CM.                 	      0	       2	       2	     0	     35.69	     86.90	25/07/02	28/03/02	S278  	73012091
VED73018048    	TUNNEL POPUP L.190 CM.             	      0	      12	      13	    -1	      8.97	     19.50	01/09/02	01/06/02	S075  	73018048
VED73018072    	TUNNEL COLOR PASTELLO              	      0	       6	       6	     0	     10.18	     22.90	09/05/02	28/03/02	S487  	73018072
VED73031028    	MINI DIABLO                        	      0	       6	       1	     5	      2.04	      5.90	23/07/02	28/03/02	S744  	73031028
VED73031087    	CNF.3 PALLE GIOCOLIERE             	      0	       4	       1	     3	      1.73	      5.90	27/07/02	26/04/02	S656  	73031087
VED73031168    	CLAVA GIOCOLIERE                   	      0	       6	       0	     6	      3.67	      9.50	  /  /  	26/04/02	S767  	73031168
VED73032059    	NASTRO GINNICO WAVE                	      0	      12	      12	     0	      2.44	      5.90	16/07/02	21/06/02	S769  	73032059
VED73041082    	HULAOOP WAVE                       	      0	      12	      10	     2	      6.78	     14.50	06/07/02	28/03/02	S575  	73041082
VED73041121    	FRULLO WAVE                        	      0	       4	       5	    -1	      6.10	     13.50	04/06/02	28/03/02	S724  	73041121
VED73050014    	PALLONE X SALTARE 60 CM            	      0	       6	       6	     0	      3.38	      9.90	10/08/02	26/04/02	S770  	73050014
VED73050065    	PONY HOP HOP GOMMA + PALLA 45 CM   	      0	       4	       3	     1	      9.21	     21.50	27/08/02	28/03/02	S579  	73050065
VED73070023    	SALTARELLO AL.POGO HUE.            	      0	      10	      10	     0	     14.86	     30.90	16/06/02	01/06/02	S334  	73070023
VED73210003    	PALLONE BASKET                     	      0	       4	       2	     2	      2.95	      7.70	17/08/02	01/06/02	S799  	73210003
VED73210038    	PALLONE BASKET ARANCIO             	      0	       3	       1	     2	      2.72	      6.50	20/04/02	28/03/02	S590  	73210038
VED73225001    	RETE PALLAVOLO+PALLA+POMPA         	      0	       2	       2	     0	      9.71	     22.90	16/07/02	26/04/02	S593  	73225001
VED73250081    	BASKETST. FAIPLAST                 	      1	       1	       1	     1	     45.35	     79.90	12/07/02	01/06/02	S727  	73250081
VED73280117    	PORTA CALCIO MET.182*122*61        	      1	       2	       3	     0	     10.08	     25.90	02/07/02	21/06/02	S839  	73280117
VED73280168    	PORTA CALCIO 240*150*90            	      2	       6	       8	     0	     19.94	     46.50	03/07/02	21/06/02	S213  	73280168
VED73280176    	PORTA CALCIO GRANDE 300*200*120    	      3	       1	       2	     2	     30.18	     82.00	05/06/02	21/06/02	S233  	73280176
VED73290368    	CANESTRO BASKET                    	      0	       2	       2	     0	      8.75	     18.90	17/08/02	01/06/02	S811  	73290368
VED73310024    	GUANTONI BOXE 6 ONCE               	      0	       2	       1	     1	      5.05	     11.00	27/06/02	01/06/02	S869  	73310024
VED73310032    	GUANTONI BOXE 8 ONCE               	      0	       2	       0	     2	      5.05	     11.00	  /  /  	01/06/02	S873  	73310032
VED73320046    	SACCO BOXE OLYMPICS 4 KG.          	      0	       2	       1	     1	      6.78	     16.50	27/06/02	28/03/02	S607  	73320046
VED73417074    	SKATEBOARD NEW STYLE STRETTO       	      0	       4	       1	     3	      9.01	     19.50	17/05/02	28/03/02	S610  	73417074
VED73417082    	SKATEBOARD+CAPPELLO+ZAINO          	      0	       4	       2	     2	     19.43	     39.99	03/08/02	26/04/02	S773  	73417082
VED73417261    	SKATEBOARD PROFI                   	      1	       0	       1	     0	     13.68	     30.94	17/06/02	05/06/01	S845  	73417261
VED73418348    	AL ALUROLLER GEAR AS               	      4	       0	       4	     0	     25.16	     66.62	06/06/02	14/12/01	S713  	73418348
VED73418356    	AL ALUROLLER ROCKETBZ021           	      3	       0	       2	     1	     44.74	     92.45	29/06/02	04/12/01	S828  	73418356
VED73418402    	ALU ROLLER RUOTE GONF.             	      0	       0	       0	     0	     51.79	    102.77	12/06/01	05/06/01	S702  	73418402
VED73418771    	SET SCI X MONOPATTINI              	      2	       0	       0	     2	     12.56	     24.79	  /  /  	04/12/01	S692  	73418771
VED73418810    	TESTA ELEFANTE X SCOOTER           	      2	       0	       0	     2	      8.11	     17.56	  /  /  	05/06/01	S820  	73418810
VED73420024    	ALL.SCOOTERBOARD XXS               	      1	       0	       0	     1	     61.73	    128.60	30/06/01	05/06/01	S687  	73420024
VED73455073    	SET PROTEZIONE X SKATE             	      4	       4	       5	     3	      4.36	     11.36	27/07/02	28/03/02	S563  	73455073
VED73477549    	XT INLINE CHAMPION PATTINI         	      2	       0	       2	     0	     10.47	     30.47	26/03/02	15/11/01	S644  	73477549
VED73477557    	XT INLINE CHAMP.PATTINI            	      2	       0	       2	     0	     10.47	     30.47	29/03/02	15/11/01	S650  	73477557
VED73478405    	XL INLINE CHAT 28-31 ROLLER        	      2	       0	       0	     2	     25.62	     51.13	  /  /  	05/06/01	S736  	73478405
VED73478413    	XT INLINE CHAT 32-34 ROLLER        	      1	       0	       1	     0	     26.13	     51.13	06/06/02	10/09/01	S737  	73478413
VED73478421    	XL INLINE CHAT 35-38 ROLLER        	      0	       2	       0	     2	     19.52	     49.00	24/12/01	01/06/02	S738  	73478421
VED7350103     	PON PON 45 CM.R                    	      0	      10	      10	     0	      2.32	      7.90	01/07/02	28/03/02	S835  	73050103
VED73510961    	PALLA ATLANTIS                     	      0	       1	       0	     1	     22.72	      4.50	25/06/02	28/02/02	S173  	73510961
VED73511046    	PALLA MAPPAMONDO                   	      0	      10	       6	     4	      1.57	      3.90	11/05/02	28/02/02	S178  	73511046
VED73620155    	PALLA CALCIO GOMMA                 	      0	       6	       0	     6	      2.42	      4.90	  /  /  	28/02/02	S188  	73620155
VED73623014    	PALLA CALCIO 270 GR.               	      0	      20	      19	     1	      4.43	      8.90	03/07/02	01/06/02	S189  	73623014
VED73661200    	PALLA GINNASTICA MEDICA            	      0	       4	       2	     2	      6.21	     13.50	15/04/02	01/06/02	S080  	73661200
VED74024106    	CROCKET 4 MAZZE                    	      0	       2	       2	     0	     11.24	     24.39	27/08/02	21/06/02	S907  	74024106
VED74024131    	CROCKET 6 MAZZE                    	      0	       1	       1	     0	     14.02	     29.50	01/08/02	21/06/02	S912  	74024131
VED74038115    	SET SOFT BASEBALL                  	      0	       9	       9	     0	      4.83	     12.90	27/07/02	21/06/02	S871  	74038115
VED74070035    	GIOCO PALLA STRAPPO VELCRO         	      0	      24	      24	     0	      2.43	      5.50	09/07/02	28/02/02	S192  	74070035
VED74070191    	BOING BALL                         	      0	      18	      17	     1	      2.34	      5.90	01/09/02	21/06/02	S915  	74070191
VED74110011    	SET BADMINGTON JUNIOR              	      4	      10	      11	     3	      3.42	      7.90	27/08/02	21/06/02	S716  	74110011
VED74111025    	SET BADMINGTON CARAT               	      0	      10	       7	     3	      3.56	      8.20	25/07/02	21/06/02	S725  	74111025
VED74131115    	TUPO 6 VOLANI PIUME NATURALI       	      0	       6	       6	     0	      2.24	      5.90	03/07/02	26/04/02	S776  	74131115
VED74420010    	RACCHETTA PING PONG ECO            	      6	       6	       3	     9	      1.84	      4.90	20/07/02	26/04/02	S565  	74420010
VED74420044    	RACCH.PING PONG IMBOTTITA          	      0	       6	       0	     6	      2.20	      5.90	  /  /  	26/04/02	S793  	74420044
VED74430040    	CNF.PING PONG 2 RACCH+PALLINE      	      0	      12	       3	     9	      3.68	      8.50	17/04/02	28/02/02	S210  	74330040
VED77710477    	PISCINA C/TETTUCCIO 140 CM         	      0	       2	       1	     1	     14.54	     31.50	28/06/02	28/03/02	S675  	77710477
VED77711031    	PISCINA ACQUARIUM 193*180          	      0	       3	       3	     0	     19.94	     39.98	27/06/02	26/04/02	S778  	77711031
VED77713018    	CENTRO DIVERTIMENTO GONFIABILE     	      0	       0	       0	     0	     42.90	     82.12	24/08/01	05/06/01	S892  	77713018
VED77713034    	PISCINA PIRATI                     	      0	       0	       0	     0	     24.59	     45.96	03/07/01	05/06/01	S925  	77713034
VED77730265    	PISCINA CON TELAIO 165*240 CM      	      0	       1	       0	     1	     42.97	     79.90	  /  /  	26/04/02	S780  	77730265
VED77730273    	PISCINA CON TELAIO 165*125 CM      	      0	       1	       0	     1	     30.69	     63.90	  /  /  	26/04/02	S782  	77730273
VED77770062    	SCIVOLO ACQUA                      	      0	       4	       3	     1	      9.41	     19.90	22/06/02	21/06/02	S785  	77770062
VED77810684    	PALLAMARE GLOBO 60 CM.             	      0	      12	      10	     2	      1.57	      4.50	08/08/02	01/06/02	S825  	77810684
VED77820205    	SALVAGENTE ANELLO 99 CM            	      0	       3	       0	     3	      2.39	      5.90	20/07/02	26/04/02	S789  	77820205
VED77825029    	SALVAGENTE MUTANDINA PI            	      0	       3	       3	     0	      3.06	      7.50	22/06/02	26/04/02	S790  	77825029
VED77851020    	ANIMALI GONF.X V.BAGNO E PISCINA   	      0	      24	      20	     4	      0.91	      2.90	20/08/02	26/04/02	S795  	77851020
VED77857044    	CASTELLO GONFIABILE JUMPING        	      0	       1	       1	     0	     24.25	     52.00	29/05/02	01/06/02	S844  	77857044
VED78011050    	TENDA IGLOO AUTOMT.                	      1	       4	       3	     2	     23.20	     45.90	07/05/02	01/06/02	S577  	78011050
VED78012005    	CASETTA POPUP CON GIOCHI           	      0	       3	       3	     0	     15.77	     32.95	01/09/02	01/06/02	S798  	78012005
VED78012013    	CASETTA TELA POPUP C/100 PALLINE   	      0	       2	       2	     0	     21.72	     46.95	24/05/02	26/04/02	S801  	78012013
VED79030171    	BOB M.METAL.                       	      7	       0	       5	     2	      9.31	     20.61	23/02/02	07/11/01	S585  	79030171
VED79031003    	SLITTA C/VOLANTE                   	      3	       0	       1	     2	     35.84	     74.89	23/02/02	07/11/01	S622  	79031003
VED79031020    	LENKBOB HUSKY                      	      5	       0	       2	     3	     20.14	     43.90	22/02/02	14/12/01	S589  	79031020
VED79031038    	LENKOBOB HUSKY                     	      1	       0	       0	     1	     29.56	     64.56	15/12/01	07/11/01	S596  	79031038
VED79112071    	SLITTA LEGNO C/PROTEZIONE          	      0	       0	       0	     0	     28.52	     61.92	27/12/01	07/11/01	S623  	79112071
VED80115008    	TENDA INDIANI 5 PALI 210 CM.       	      1	       0	       0	     1	     23.07	     56.81	11/10/01	05/06/01	S932  	80115008
VED80120001    	CASA CHICCO ESTERNO                	      0	       3	       2	     1	    112.53	    199.00	30/05/02	21/06/02	S658  	80120001
VED80125241    	CASETTA TELA POP UP                	      0	       6	       5	     1	     15.77	     32.50	17/08/02	01/06/02	S597  	80125241
VED80350015    	MANETTE METALLO                    	     10	       0	       1	     9	      2.21	      5.68	15/04/02	10/09/01	S449  	80350015
VED80505442    	SPADA LEGNO 1                      	      1	       0	       0	     1	      2.20	      6.20	05/12/01	07/11/01	S602  	80505442
VED80505604    	SPADA LEGNO 2                      	      2	       4	       6	     0	      2.58	      6.95	29/07/02	20/01/02	S611  	80505604
VED80505698    	SPADA SIGNORE DEGLI ANELLI         	      0	       0	       0	     0	     12.15	     30.47	18/12/01	04/12/01	S696  	80505698
VED82835024    	BEFANA MARIONETTA 60 CM.           	      2	       0	       1	     1	      6.08	     17.56	04/01/02	05/06/01	Q088  	82835024
VED82835041    	HEXE M.KATZE U.SOUNDPOLI           	      4	       0	       1	     3	      3.82	      8.52	05/01/02	05/07/01	Q052  	82835041
VED84270415    	CNF.32 BARATTOLI SLIME             	      0	       0	       0	     0	     28.80	      2.32	30/11/01	05/07/01	D139  	74270415
VED84270482    	MINI MAGIC SLIME CNF.32            	      0	       0	       0	     0	     28.80	      2.32	09/02/02	05/07/01	D237  	84270482
VED86733218    	TATUAGGIO BRACCIALE                	      0	      12	       2	    10	      5.13	     14.99	26/06/02	21/06/02	D540  	86733218
VED86920115    	ACCHIAPPA LA BOLLA                 	      0	      24	      23	     1	      1.71	      4.80	04/07/02	01/06/02	S833  	86920115
VED86920361    	MACCHINA BOLLE SAPONE              	      0	       2	       2	     0	      5.38	     11.50	25/06/02	01/06/02	S698  	86920361
VED87255794    	TAZZA CER.KRUEMEL                  	      0	       6	       3	     3	      3.70	      7.50	31/05/02	01/06/02	D593  	87255794
WAD74753       	CARRIOLA C/ACCESS.MARE             	      0	      12	       7	     5	      8.39	     16.90	08/08/02	21/06/02	S860  	71150305
